stock,year,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Decapterus spp,1995,1.53447904699266,0.138220224667208,1.53447904699266,0.138220224667208
Decapterus spp,1996,1.51334756044129,0.427830641765405,1.51334756044129,0.427830641765405
Decapterus spp,1997,1.59747400025211,0.30793575540527,1.59747400025211,0.30793575540527
Decapterus spp,1998,1.78054262409114,0.418987308612183,1.78054262409114,0.418987308612183
Decapterus spp,1999,1.65551799303865,0.307970187985284,1.65551799303865,0.307970187985284
Decapterus spp,2000,1.36279696587324,0.416148830929658,1.36279696587324,0.416148830929658
Decapterus spp,2001,1.23770642103317,0.342062039280877,1.23770642103317,0.342062039280877
Decapterus spp,2002,1.45474786564254,0.318848939981448,1.45474786564254,0.318848939981448
Decapterus spp,2003,1.05796244890022,0.374415490407206,1.05796244890022,0.374415490407206
Decapterus spp,2004,0.630066478062659,0.460704455230686,0.630066478062659,0.460704455230686
Decapterus spp,2005,0.654864720421339,0.850843764963646,0.654864720421339,0.850843764963646
Decapterus spp,2006,0.635760371462893,0.576484583917101,0.635760371462893,0.576484583917101
Decapterus spp,2007,0.504833203041567,0.633240808694304,0.504833203041567,0.633240808694304
Decapterus spp,2008,0.681688860970707,0.411687846594838,0.681688860970707,0.411687846594838
Decapterus spp,2009,0.806990432254495,0.714829094936998,0.806990432254495,0.714829094936998
Decapterus spp,2010,0.624873462492295,0.485357607978752,0.624873462492295,0.485357607978752
Decapterus spp,2011,0.555049788712735,0.693724521100058,0.555049788712735,0.693724521100058
Decapterus spp,2012,0.624746415147699,1.09539280096938,0.624746415147699,1.09539280096938
Decapterus spp,2013,0.631072943358738,1.10162175302795,0.631072943358738,1.10162175302795
Decapterus spp,2014,0.582148198024107,0.798893406750738,0.582148198024107,0.798893406750738
Decapterus spp,2015,0.669491773623723,1.09120537503776,0.669491773623723,1.09120537503776
Decapterus spp,2016,0.833410232708726,0.87301739238214,0.833410232708726,0.87301739238214
Decapterus spp,2017,0.774331325116987,0.634621172870197,0.774331325116987,0.634621172870197
Decapterus spp,2018,1.1096029800317,0.84288869429694,1.1096029800317,0.84288869429694
Decapterus spp,2019,1.05145535673137,0.846917532874933,1.05145535673137,0.846917532874933
Decapterus spp,2020,1.08316094716192,0.754964497348943,1.08316094716192,0.754964497348943
Decapterus spp,2021,1.41101516628152,0.761738695950185,1.41101516628152,0.761738695950185
