Year,Decapterus spp
1995,2070
1996,6319
1997,4801
1998,7281
1999,4976
2000,5535
2001,4132
2002,4527
2003,3866
2004,2833
2005,5438
2006,3577
2007,3120
2008,2739
2009,5630
2010,2960
2011,3758
2012,6679
2013,6785
2014,4539
2015,7130
2016,7101
2017,4796
2018,9128
2019,8691
2020,7981
2021,10490
